Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score	Tissue	Trait_file	Trait_name	Trait_category	Enrichment_p_1s	FDR
0.0075284017755607	-0.0089044774034891	0.0220847115379716	-1.1827845629062346	2.933519251013491	0.4582106636348929	-4.508019146622191e-08	4.4771411878736265e-08	-1.0068968025471696	Brain_Cerebellum	Summary_statistics_MAGNETIC_XL-HDL-P-txt	Concentration of very large HDL particles	Blood lipids	0.7708946681825536	0.894936412982575
0.0084018896325362	-0.0320729066076605	0.0219570163076037	-3.81734443207378	2.613342625041807	0.0187836471198042	-8.051693336766456e-08	3.039824616033761e-08	-2.6487361455977605	Brain_Cortex	Summary_statistics_MAGNETIC_XL-HDL-P-txt	Concentration of very large HDL particles	Blood lipids	0.9906081764400979	0.9999704385722079
0.0073599781518996	-0.0198736318020698	0.0249483511364929	-2.700229727847813	3.389731684197132	0.253846412409945	-6.386063187387856e-08	4.8704669644463584e-08	-1.311180885530096	Brain_Anterior_cingulate_cortex_BA24	Summary_statistics_MAGNETIC_XL-HDL-P-txt	Concentration of very large HDL particles	Blood lipids	0.8730767937950275	0.9688544727663195
0.0043457991977734	-0.0387783934946632	0.0201769728699689	-8.923190356915516	4.642868193336336	0.0074443736039717	-1.519104265239146e-07	5.5103478361636416e-08	-2.756821003693229	Brain_Hypothalamus	Summary_statistics_MAGNETIC_XL-HDL-P-txt	Concentration of very large HDL particles	Blood lipids	0.9962778131980141	0.9999959906635428
0.0061117309570169	0.0265762298458759	0.0330898415071535	4.348396556193896	5.41415218370548	0.5289129472154622	4.57721323554515e-08	8.033197222325558e-08	0.5697872352522767	Brain_Putamen_basal_ganglia	Summary_statistics_MAGNETIC_XL-HDL-P-txt	Concentration of very large HDL particles	Blood lipids	0.2644564736077311	0.6790981050667663
0.0027323545639363	-0.0189426518234407	0.0200731004261926	-6.93272098484593	7.346447891914426	0.2320693998227835	-1.1555725307087901e-07	9.748806837872021e-08	-1.1853476532324332	Brain_Amygdala	Summary_statistics_MAGNETIC_XL-HDL-P-txt	Concentration of very large HDL particles	Blood lipids	0.8839653000886083	0.963904494985219
0.0060157764622617	-0.0071656828453756	0.0213919715370384	-1.19114845611826	3.5559784628359696	0.5257805678095835	-3.829503577687367e-08	5.1860530062522314e-08	-0.7384235319366333	Brain_Nucleus_accumbens_basal_ganglia	Summary_statistics_MAGNETIC_XL-HDL-P-txt	Concentration of very large HDL particles	Blood lipids	0.7371097160952083	0.8840312819495859
0.0070194403470868	-0.016341584695253	0.0180171625972974	-2.3280466657195817	2.566752006771408	0.165414338070373	-5.274239354643574e-08	3.6284445569148683e-08	-1.4535813547411796	Brain_Frontal_Cortex_BA9	Summary_statistics_MAGNETIC_XL-HDL-P-txt	Concentration of very large HDL particles	Blood lipids	0.9172928309648135	0.9873472250415878
0.0077957994410147	-0.0020988710254825	0.0247801552085784	-0.2692310187509545	3.1786547866029893	0.6860075808179134	-2.0653452019024547e-08	4.7535236104485787e-08	-0.4344872080497678	Brain_Substantia_nigra	Summary_statistics_MAGNETIC_XL-HDL-P-txt	Concentration of very large HDL particles	Blood lipids	0.6569962095910433	0.8708341342741172
0.0088377109216513	-0.0024925357557919	0.0322204911332621	-0.2820340898100109	3.645796000673191	0.7146428425829439	-2.052833651720696e-08	5.290599307379473e-08	-0.3880153329429706	Brain_Cerebellar_Hemisphere	Summary_statistics_MAGNETIC_XL-HDL-P-txt	Concentration of very large HDL particles	Blood lipids	0.6426785787085281	0.8827179715754933
